0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:25:56 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:25:57 +0900] "POST /GAMESOCKET/myomok HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:25:57 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:03 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:06 +0900] "POST /GAMESOCKET/myomok HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:06 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:11 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:16 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:17 +0900] "POST /GAMESOCKET/myomok HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:17 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:20 +0900] "POST /GAMESOCKET/myomok HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:20 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:22 +0900] "POST /GAMESOCKET/myomok HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:22 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2019:11:26:27 +0900] "GET /GAMESOCKET/01_OMOK_07_AUTO.html HTTP/1.1" 304 -
